winner,turns,win_rate_player_1,win_rate_player_2,cards_played_player_1,cards_played_player_2,hand_value_player_1,hand_value_player_2,score_player_1,score_player_2
CardCounter,86,0.43037974683544306,0.569620253164557,45,46,68,0,1373,1241
CardCounter,145,0.425,0.575,76,78,21,0,1394,1241
Random,23,0.43209876543209874,0.5679012345679012,14,12,0,14,1394,1255
CardCounter,45,0.4268292682926829,0.573170731707317,24,24,9,0,1403,1255
CardCounter,46,0.42168674698795183,0.5783132530120482,27,23,20,0,1423,1255
Random,26,0.42857142857142855,0.5714285714285714,13,13,0,34,1423,1289
CardCounter,16,0.4235294117647059,0.5764705882352941,9,9,48,0,1471,1289
CardCounter,21,0.4186046511627907,0.5813953488372093,11,12,71,0,1542,1289
Random,15,0.42528735632183906,0.5747126436781609,8,7,0,121,1542,1410
CardCounter,65,0.42045454545454547,0.5795454545454546,33,35,27,0,1569,1410
CardCounter,64,0.4157303370786517,0.5842696629213483,34,32,16,0,1585,1410
Random,26,0.4222222222222222,0.5777777777777777,14,13,0,21,1585,1431
Random,37,0.42857142857142855,0.5714285714285714,19,18,0,35,1585,1466
CardCounter,35,0.42391304347826086,0.5760869565217391,19,18,40,0,1625,1466
CardCounter,24,0.41935483870967744,0.5806451612903226,15,14,35,0,1660,1466
Random,40,0.425531914893617,0.574468085106383,22,22,0,21,1660,1487
Random,17,0.43157894736842106,0.5684210526315789,10,8,0,147,1660,1634
CardCounter,56,0.4270833333333333,0.5729166666666666,29,29,14,0,1674,1634
CardCounter,26,0.422680412371134,0.5773195876288659,13,13,21,0,1695,1634
Random,50,0.42857142857142855,0.5714285714285714,26,25,0,34,1695,1668
CardCounter,14,0.42424242424242425,0.5757575757575758,7,7,18,0,1713,1668
CardCounter,53,0.42,0.58,30,27,19,0,1732,1668
Random,41,0.42574257425742573,0.5742574257425742,22,20,0,14,1732,1682
CardCounter,21,0.4215686274509804,0.5784313725490197,11,12,14,0,1746,1682
CardCounter,12,0.4174757281553398,0.5825242718446602,9,6,9,0,1755,1682
Random,14,0.4230769230769231,0.5769230769230769,7,7,0,8,1755,1690
CardCounter,18,0.41904761904761906,0.580952380952381,10,9,56,0,1811,1690
Random,132,0.42452830188679247,0.5754716981132075,70,72,0,2,1811,1692
CardCounter,72,0.4205607476635514,0.5794392523364486,41,38,30,0,1841,1692
Random,13,0.42592592592592593,0.5740740740740741,6,7,0,55,1841,1747
CardCounter,28,0.42201834862385323,0.5779816513761468,14,14,52,0,1893,1747
Random,34,0.42727272727272725,0.5727272727272728,17,19,0,8,1893,1755
Random,13,0.43243243243243246,0.5675675675675675,8,6,0,51,1893,1806
Random,42,0.4375,0.5625,22,24,0,41,1893,1847
Random,73,0.4424778761061947,0.5575221238938053,41,36,0,81,1893,1928
